loan_id,maturity_date,customer_id,application_date,disburse_date,pledge_date,product_type,loan_grade,lender,facility,total_fees,total_other,total_interest,credit_bureau_score,term,frequency,interest_rate,disburse_principal,outstanding_balance,currency,dpd,ratio_paid,loan_status,amount_buckets,company,loan_counts,term_buckets,location_state_province
ABF - DSB0015-001,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,0.88,0.0,13.0,,36,One-time,0.691,203.59,0.0,USD,0,1.0,Complete,0-0.5K,ABF,1,31-45 Days,San Salvador
ABF - DSB0015-002,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,2.68,0.0,39.57,,36,One-time,0.691,619.88,0.0,USD,0,1.0,Complete,0.5K-1K,ABF,2,31-45 Days,San Salvador
ABF - DSB0015-003,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,0.27,0.0,3.97,,36,One-time,0.692,62.13,0.0,USD,0,1.0,Complete,0-0.5K,ABF,3,31-45 Days,San Salvador
ABF - DSB0015-004,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,0.94,0.0,13.96,,36,One-time,0.691,218.62,0.0,USD,0,1.0,Complete,0-0.5K,ABF,4,31-45 Days,San Salvador
ABF - DSB0015-005,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,1.9,0.0,28.08,,36,One-time,0.691,439.79,0.0,USD,0,1.0,Complete,0-0.5K,ABF,5-10,31-45 Days,San Salvador
ABF - DSB0015-006,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,1.81,0.0,26.72,,36,One-time,0.691,418.5,0.0,USD,0,1.0,Complete,0-0.5K,ABF,5-10,31-45 Days,San Salvador
ABF - DSB0015-007,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,0.63,0.0,9.35,,36,One-time,0.691,146.54,0.0,USD,0,1.0,Complete,0-0.5K,ABF,5-10,31-45 Days,San Salvador
ABF - DSB0015-008,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,1.35,0.0,20.01,,36,One-time,0.691,313.51,0.0,USD,0,1.0,Complete,0-0.5K,ABF,5-10,31-45 Days,San Salvador
ABF - DSB0015-009,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,0.7,0.0,10.35,,36,One-time,0.691,162.1,0.0,USD,0,1.0,Complete,0-0.5K,ABF,5-10,31-45 Days,San Salvador
ABF - DSB0015-010,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,0.97,0.0,14.39,,36,One-time,0.691,225.38,0.0,USD,0,1.0,Complete,0-0.5K,ABF,5-10,31-45 Days,San Salvador
ABF - DSB0015-011,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,1.43,0.0,21.18,,36,One-time,0.691,331.73,0.0,USD,0,1.0,Complete,0-0.5K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-012,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,0.75,0.0,11.04,,36,One-time,0.691,172.91,0.0,USD,0,1.0,Complete,0-0.5K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-013,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,0.6,0.0,8.84,,36,One-time,0.691,138.53,0.0,USD,0,1.0,Complete,0-0.5K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-014,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,1.09,0.0,16.08,,36,One-time,0.691,251.87,0.0,USD,0,1.0,Complete,0-0.5K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-015,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,0.27,0.0,3.97,,36,One-time,0.692,62.13,0.0,USD,0,1.0,Complete,0-0.5K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-016,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,1.29,0.0,19.01,,36,One-time,0.691,297.84,0.0,USD,0,1.0,Complete,0-0.5K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-017,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,0.6,0.0,8.88,,36,One-time,0.691,139.05,0.0,USD,0,1.0,Complete,0-0.5K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-018,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,0.3,0.0,4.37,,36,One-time,0.692,68.42,0.0,USD,0,1.0,Complete,0-0.5K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-019,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,0.34,0.0,4.98,,36,One-time,0.691,78.07,0.0,USD,0,1.0,Complete,0-0.5K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-020,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,0.74,0.0,10.93,,36,One-time,0.691,171.25,0.0,USD,0,1.0,Complete,0-0.5K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-021,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,1.48,0.0,21.91,,36,One-time,0.691,343.15,0.0,USD,0,1.0,Complete,0-0.5K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-022,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,1.91,0.0,28.29,,36,One-time,0.691,443.21,0.0,USD,0,1.0,Complete,0-0.5K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-023,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,0.7,0.0,10.32,,36,One-time,0.691,161.71,0.0,USD,0,1.0,Complete,0-0.5K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-024,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,2.71,0.0,40.04,,36,One-time,0.691,627.12,0.0,USD,0,1.0,Complete,0.5K-1K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-025,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,2.68,0.0,39.57,,36,One-time,0.691,619.88,0.0,USD,0,1.0,Complete,0.5K-1K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-026,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,2.82,0.0,41.74,,36,One-time,0.691,653.8,0.0,USD,0,1.0,Complete,0.5K-1K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-027,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,0.32,0.0,4.77,,36,One-time,0.691,74.71,0.0,USD,0,1.0,Complete,0-0.5K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-028,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,3.88,0.0,57.42,,36,One-time,0.691,899.43,0.0,USD,0,1.0,Complete,0.5K-1K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-029,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,2.83,0.0,41.82,,36,One-time,0.691,655.11,0.0,USD,0,1.0,Complete,0.5K-1K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-030,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,1.18,0.0,17.46,,36,One-time,0.691,273.54,0.0,USD,0,1.0,Complete,0-0.5K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-031,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,0.83,0.0,12.24,,36,One-time,0.691,191.73,0.0,USD,0,1.0,Complete,0-0.5K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-032,2023-02-17,CLI2174,,2023-01-05,,factoring,,,,1.27,0.0,18.82,,43,One-time,0.578,294.88,0.0,USD,0,1.0,Complete,0-0.5K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-033,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,1.27,0.0,18.82,,36,One-time,0.691,294.88,0.0,USD,0,1.0,Complete,0-0.5K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-034,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,0.84,0.0,12.37,,36,One-time,0.691,193.72,0.0,USD,0,1.0,Complete,0-0.5K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-035,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,0.58,0.0,8.59,,36,One-time,0.691,134.51,0.0,USD,0,1.0,Complete,0-0.5K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-036,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,1.11,0.0,16.37,,36,One-time,0.691,256.4,0.0,USD,0,1.0,Complete,0-0.5K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-037,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,1.38,0.0,20.43,,36,One-time,0.691,320.07,0.0,USD,0,1.0,Complete,0-0.5K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-038,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,0.54,0.0,7.93,,36,One-time,0.691,124.26,0.0,USD,0,1.0,Complete,0-0.5K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-039,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,0.97,0.0,14.39,,36,One-time,0.691,225.38,0.0,USD,0,1.0,Complete,0-0.5K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-040,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,0.2,0.0,3.0,,36,One-time,0.69,47.01,0.0,USD,0,1.0,Complete,0-0.5K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-041,2023-02-17,CLI2174,,2023-01-05,,factoring,,,,1.22,0.0,18.06,,43,One-time,0.579,282.83,0.0,USD,0,1.0,Complete,0-0.5K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-042,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,1.13,0.0,16.78,,36,One-time,0.691,262.77,0.0,USD,0,1.0,Complete,0-0.5K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-043,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,2.68,0.0,39.57,,36,One-time,0.691,619.88,0.0,USD,0,1.0,Complete,0.5K-1K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-044,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,1.82,0.0,26.96,,36,One-time,0.691,422.25,0.0,USD,0,1.0,Complete,0-0.5K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-045,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,2.6,0.0,38.42,,36,One-time,0.691,601.75,0.0,USD,0,1.0,Complete,0.5K-1K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-046,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,0.43,0.0,6.41,,36,One-time,0.691,100.36,0.0,USD,0,1.0,Complete,0-0.5K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-047,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,2.68,0.0,39.57,,36,One-time,0.691,619.88,0.0,USD,0,1.0,Complete,0.5K-1K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0015-048,2023-02-10,CLI2174,,2023-01-05,,factoring,,,,13.64,0.0,201.7,,36,One-time,0.691,3159.49,0.0,USD,0,1.0,Complete,2.5K-5K,ABF,11+,31-45 Days,San Salvador
ABF - DSB0018-001,2023-03-24,CLI1145,,2023-01-05,,factoring,,,,3.11,0.0,72.36,,78,One-time,0.694,509.02,0.0,USD,0,1.0,Complete,0.5K-1K,ABF,1,61-90 Days,La Libertad
ABF - DSB0018-002,2023-03-24,CLI1145,,2023-01-05,,factoring,,,,3.02,0.0,70.31,,78,One-time,0.694,494.6,0.0,USD,0,1.0,Complete,0-0.5K,ABF,2,61-90 Days,La Libertad
ABF - DSB0018-003,2023-03-24,CLI1145,,2023-01-05,,factoring,,,,1.43,0.0,33.31,,78,One-time,0.694,234.34,0.0,USD,0,1.0,Complete,0-0.5K,ABF,3,61-90 Days,La Libertad
ABF - DSB0018-004,2023-03-10,CLI1145,,2023-01-05,,factoring,,,,4.65,0.0,90.31,,64,One-time,0.71,762.35,0.0,USD,0,1.0,Complete,0.5K-1K,ABF,4,61-90 Days,La Libertad
ABF - DSB0018-005,2023-04-19,CLI1145,,2023-01-05,,factoring,,,,0.26,0.0,7.12,,104,One-time,0.603,42.93,0.0,USD,0,1.0,Complete,0-0.5K,ABF,5-10,91-120 Days,La Libertad
ABF - DSB0018-006,2023-04-19,CLI1145,,2023-01-05,,factoring,,,,0.39,0.0,10.5,,104,One-time,0.604,63.31,0.0,USD,0,1.0,Complete,0-0.5K,ABF,5-10,91-120 Days,La Libertad
ABF - DSB0018-007,2023-04-19,CLI1145,,2023-01-05,,factoring,,,,0.41,0.0,11.13,,104,One-time,0.603,67.14,0.0,USD,0,1.0,Complete,0-0.5K,ABF,5-10,91-120 Days,La Libertad
ABF - DSB0019-001,2023-02-01,CLI2514,,2023-01-05,,factoring,,,,8.33,0.0,117.6,,27,One-time,0.684,2489.59,0.0,USD,0,1.0,Complete,1K-2.5K,ABF,1,21-30 Days,La Libertad
ABF - DSB0019-002,2023-03-07,CLI2514,,2023-01-05,,factoring,,,,13.89,0.0,490.56,,61,One-time,0.727,4154.06,0.0,USD,0,1.0,Complete,2.5K-5K,ABF,2,61-90 Days,La Libertad
ABF - DSB0019-003,2023-04-20,CLI2514,,2023-01-05,,factoring,,,,19.03,0.0,940.8,,105,One-time,0.586,5690.49,0.0,USD,0,1.0,Complete,5K-10K,ABF,3,91-120 Days,La Libertad
ABF - DSB0019-004,2023-01-26,CLI2514,,2023-01-05,,factoring,,,,1.23,0.0,17.38,,21,One-time,0.879,367.85,0.0,USD,0,1.0,Complete,0-0.5K,ABF,4,21-30 Days,La Libertad
ABF - DSB0020-001,2023-05-19,CLI0078,,2023-01-05,,factoring,,,,5.88,0.0,260.52,,134,One-time,0.494,1469.64,0.0,USD,0,1.0,Complete,1K-2.5K,ABF,1,121-180 Days,San Salvador
ABF - DSB0020-002,2023-06-23,CLI0078,,2023-01-05,,factoring,,,,9.11,0.0,403.41,,169,One-time,0.391,2275.69,0.0,USD,0,1.0,Complete,1K-2.5K,ABF,2,121-180 Days,San Salvador
ABF - DSB0020-003,2023-06-09,CLI0078,,2023-01-05,,factoring,,,,11.55,0.0,511.55,,155,One-time,0.427,2885.73,0.0,USD,0,1.0,Complete,2.5K-5K,ABF,3,121-180 Days,San Salvador
ABF - DSB0021-001,2023-02-15,CLI1070,,2023-01-05,,factoring,,,,0.19,0.0,2.48,,41,One-time,0.613,38.8,0.0,USD,0,1.0,Complete,0-0.5K,ABF,1,31-45 Days,San Salvador
ABF - DSB0021-002,2023-02-15,CLI1070,,2023-01-05,,factoring,,,,3.11,0.0,39.6,,41,One-time,0.613,619.87,0.0,USD,0,1.0,Complete,0.5K-1K,ABF,2,31-45 Days,San Salvador
ABF - DSB0021-003,2023-02-15,CLI1070,,2023-01-05,,factoring,,,,3.52,0.0,44.79,,41,One-time,0.613,701.12,0.0,USD,0,1.0,Complete,0.5K-1K,ABF,3,31-45 Days,San Salvador
ABF - DSB0021-004,2023-02-15,CLI1070,,2023-01-05,,factoring,,,,1.84,0.0,23.41,,41,One-time,0.614,366.4,0.0,USD,0,1.0,Complete,0-0.5K,ABF,4,31-45 Days,San Salvador
ABF - DSB0021-005,2023-02-15,CLI1070,,2023-01-05,,factoring,,,,12.45,0.0,158.65,,41,One-time,0.613,2483.23,0.0,USD,0,1.0,Complete,1K-2.5K,ABF,5-10,31-45 Days,San Salvador
ABF - DSB0021-006,2023-02-15,CLI1070,,2023-01-05,,factoring,,,,0.8,0.0,10.19,,41,One-time,0.613,159.49,0.0,USD,0,1.0,Complete,0-0.5K,ABF,5-10,31-45 Days,San Salvador
ABF - DSB0021-007,2023-02-15,CLI1070,,2023-01-05,,factoring,,,,3.41,0.0,43.38,,41,One-time,0.614,679.0,0.0,USD,0,1.0,Complete,0.5K-1K,ABF,5-10,31-45 Days,San Salvador
ABF - DSB0021-008,2023-02-15,CLI1070,,2023-01-05,,factoring,,,,1.23,0.0,15.7,,41,One-time,0.613,245.7,0.0,USD,0,1.0,Complete,0-0.5K,ABF,5-10,31-45 Days,San Salvador
ABF - DSB0022-001,2023-02-24,CLI2532,,2023-01-05,,factoring,,,,8.85,0.0,36.0,,50,One-time,0.879,372.5,0.0,USD,0,1.0,Complete,0-0.5K,ABF,1,46-60 Days,San Salvador
ABF - DSB0023-001,2023-03-09,CLI1477,,2023-01-06,,factoring,,,,110.62,0.0,5714.97,,62,One-time,0.708,48452.27,0.0,USD,0,1.0,Complete,10K-50K,ABF,1,61-90 Days,San Salvador
ABF - DSB0024-001,2023-02-17,CLI0670,,2023-01-06,,factoring,,,,26.55,0.0,312.0,,42,One-time,0.67,4390.0,0.0,USD,0,1.0,Complete,2.5K-5K,ABF,1,31-45 Days,San Salvador
ABF - DSB0026-001,2023-02-13,CLI2043,,2023-01-06,,factoring,,,,3.32,0.0,51.31,,38,One-time,0.653,803.89,0.0,USD,0,1.0,Complete,0.5K-1K,ABF,11+,31-45 Days,La Libertad
ABF - DSB0026-002,2023-02-11,CLI2043,,2023-01-06,,factoring,,,,1.05,0.0,16.22,,36,One-time,0.689,254.16,0.0,USD,0,1.0,Complete,0-0.5K,ABF,11+,31-45 Days,La Libertad
ABF - DSB0026-003,2023-02-11,CLI2043,,2023-01-06,,factoring,,,,0.07,0.0,1.08,,36,One-time,0.689,16.92,0.0,USD,0,1.0,Complete,0-0.5K,ABF,11+,31-45 Days,La Libertad
ABF - DSB0026-004,2023-02-04,CLI2043,,2023-01-06,,factoring,,,,0.55,0.0,5.71,,29,One-time,0.588,134.08,0.0,USD,0,1.0,Complete,0-0.5K,ABF,11+,21-30 Days,La Libertad
ABF - DSB0026-005,2023-02-04,CLI2043,,2023-01-06,,factoring,,,,1.25,0.0,12.81,,29,One-time,0.588,301.15,0.0,USD,0,1.0,Complete,0-0.5K,ABF,11+,21-30 Days,La Libertad
ABF - DSB0026-006,2023-02-03,CLI2043,,2023-01-06,,factoring,,,,7.03,0.0,72.32,,28,One-time,0.609,1699.56,0.0,USD,0,1.0,Complete,1K-2.5K,ABF,11+,21-30 Days,La Libertad
ABF - DSB0027-001,2023-02-11,CLI1970,,2023-01-07,,factoring,,,,2.12,0.0,35.88,,35,One-time,0.658,602.25,0.0,USD,0,1.0,Complete,0.5K-1K,ABF,1,31-45 Days,San Salvador
ABF - DSB0027-002,2023-01-27,CLI1970,,2023-01-07,,factoring,,,,1.7,0.0,19.25,,20,One-time,0.789,484.6,0.0,USD,0,1.0,Complete,0-0.5K,ABF,2,11-20 Days,San Salvador
ABF - DSB0027-003,2023-01-30,CLI1970,,2023-01-07,,factoring,,,,0.89,0.0,10.04,,23,One-time,0.686,252.89,0.0,USD,0,1.0,Complete,0-0.5K,ABF,3,21-30 Days,San Salvador
ABF - DSB0027-004,2023-02-17,CLI1970,,2023-01-07,,factoring,,,,1.16,0.0,19.6,,41,One-time,0.562,328.92,0.0,USD,0,1.0,Complete,0-0.5K,ABF,4,31-45 Days,San Salvador
ABF - DSB0027-005,2023-02-10,CLI1970,,2023-01-07,,factoring,,,,2.26,0.0,38.33,,34,One-time,0.677,643.34,0.0,USD,0,1.0,Complete,0.5K-1K,ABF,5-10,31-45 Days,San Salvador
ABF - DSB0027-006,2023-02-04,CLI1970,,2023-01-07,,factoring,,,,0.89,0.0,10.04,,28,One-time,0.563,252.89,0.0,USD,0,1.0,Complete,0-0.5K,ABF,5-10,21-30 Days,San Salvador
ABF - DSB0027-007,2023-02-07,CLI1970,,2023-01-07,,factoring,,,,1.06,0.0,17.96,,31,One-time,0.743,301.51,0.0,USD,0,1.0,Complete,0-0.5K,ABF,5-10,31-45 Days,San Salvador
ABF - DSB0027-008,2023-01-27,CLI1970,,2023-01-07,,factoring,,,,2.27,0.0,25.72,,20,One-time,0.789,647.48,0.0,USD,0,1.0,Complete,0.5K-1K,ABF,5-10,11-20 Days,San Salvador
ABF - DSB0027-009,2023-01-27,CLI1970,,2023-01-07,,factoring,,,,2.35,0.0,26.61,,20,One-time,0.789,670.01,0.0,USD,0,1.0,Complete,0.5K-1K,ABF,5-10,11-20 Days,San Salvador
ABF - DSB0027-010,2023-02-03,CLI1970,,2023-01-07,,factoring,,,,1.76,0.0,19.91,,27,One-time,0.584,501.37,0.0,USD,0,1.0,Complete,0.5K-1K,ABF,5-10,21-30 Days,San Salvador
ABF - DSB0027-011,2023-01-30,CLI1970,,2023-01-07,,factoring,,,,3.78,0.0,42.74,,23,One-time,0.686,1076.08,0.0,USD,0,1.0,Complete,1K-2.5K,ABF,11+,21-30 Days,San Salvador
ABF - DSB0027-012,2023-01-30,CLI1970,,2023-01-07,,factoring,,,,3.62,0.0,40.92,,23,One-time,0.686,1030.4,0.0,USD,0,1.0,Complete,1K-2.5K,ABF,11+,21-30 Days,San Salvador
ABF - DSB0027-013,2023-03-24,CLI1970,,2023-01-07,,factoring,,,,2.7,0.0,76.28,,76,One-time,0.494,768.18,0.0,USD,0,1.0,Complete,0.5K-1K,ABF,11+,61-90 Days,San Salvador
ABF - DSB0028-001,2023-02-01,CLI2512,,2023-01-07,,factoring,,,,7.59,0.0,73.64,,25,One-time,0.762,1556.27,0.0,USD,0,1.0,Complete,1K-2.5K,ABF,5-10,21-30 Days,San Salvador
ABF - DSB0028-002,2023-03-15,CLI2512,,2023-01-07,,factoring,,,,5.68,0.0,137.8,,67,One-time,0.671,1164.88,0.010000000000218279,USD,1001,0.9999914154247646,Complete,1K-2.5K,ABF,5-10,61-90 Days,San Salvador
ABF - DSB0029-001,2023-02-13,CLI2452,,2023-01-07,,factoring,,,,3.08,0.0,39.32,,37,One-time,0.756,553.62,0.0,USD,0,1.0,Complete,0.5K-1K,ABF,1,31-45 Days,San Salvador
ABF - DSB0029-002,2023-02-20,CLI2452,,2023-01-07,,factoring,,,,0.69,0.0,8.81,,44,One-time,0.635,124.09,0.0,USD,0,1.0,Complete,0-0.5K,ABF,2,31-45 Days,San Salvador
ABF - DSB0029-003,2023-02-17,CLI2452,,2023-01-07,,factoring,,,,0.66,0.0,8.48,,41,One-time,0.682,119.31,0.0,USD,0,1.0,Complete,0-0.5K,ABF,3,31-45 Days,San Salvador
ABF - DSB0029-004,2023-04-21,CLI2452,,2023-01-07,,factoring,,,,8.45,0.0,252.0,,104,One-time,0.601,1520.46,0.0,USD,0,1.0,Complete,1K-2.5K,ABF,4,91-120 Days,San Salvador
ABF - DSB0029-005,2023-02-03,CLI2452,,2023-01-07,,factoring,,,,0.4,0.0,3.39,,27,One-time,0.716,71.59,0.0,USD,0,1.0,Complete,0-0.5K,ABF,5-10,21-30 Days,San Salvador
ABF - DSB0030-001,2023-02-03,CLI0240,,2023-01-09,,factoring,,,,13.27,0.0,128.37,,25,One-time,0.72,2873.28,0.0,USD,0,1.0,Complete,2.5K-5K,ABF,1,21-30 Days,San Salvador
